elu,sigle,parti,ordre,suffrages,id,liste_id,nom,photoUrl,sexe
0,EAG,ENSEMBLE À GAUCHE,46,6265,10482,101,CHRISTINAT Jean-David,CHRISTINAT_Jean-David.jpg,0
0,EAG,ENSEMBLE À GAUCHE,46,6265,10617,101,SAHIN Gazi,SAHIN_Gazi.jpg,0
0,EAG,ENSEMBLE À GAUCHE,48,6259,10077,101,DURAKU Edon,DURAKU_Edon.jpg,0
0,UDC,UDC,12,6233,10362,106,MICHAUD Eliane (ANSERMET),MICHAUD_Eliane.jpg,1
0,UDC,UDC,13,6228,10377,106,CONTI Virna,CONTI_Virna.jpg,1
0,UDC,UDC,14,6227,10360,106,CATELAIN Gilbert,CATELAIN_Gilbert.jpg,0
0,EAG,ENSEMBLE À GAUCHE,49,6204,10053,101,EDJEOU Corinne (BUNTSCHU),EDJEOU_Corinne.jpg,1
0,EAG,ENSEMBLE À GAUCHE,50,6187,10070,101,BOUJEMAA Sanae,BOUJEMAA_Sanae.jpg,1
0,EAG,ENSEMBLE À GAUCHE,51,6185,10054,101,MEIERHOFER MANYAGOUA BOUMTCHÉ Charlotte,MEIERHOFER_MANYAGOUA_BOUMTCHE_Charlotte.jpg,1
0,EAG,ENSEMBLE À GAUCHE,52,6180,10040,101,CLEMENT Patrice,CLEMENT_Patrice.jpg,0
0,EAG,ENSEMBLE À GAUCHE,53,6179,10076,101,DURAKU Fitore,DURAKU_Fitore.jpg,1
0,EAG,ENSEMBLE À GAUCHE,54,6168,10060,101,MAILLEFER Denise,MAILLEFER_Denise.jpg,1
0,EAG,ENSEMBLE À GAUCHE,55,6158,10074,101,CAMELO Alfredo,CAMELO_Alfredo.jpg,0
0,EAG,ENSEMBLE À GAUCHE,56,6147,10066,101,BLANCO Luis,BLANCO_Luis.jpg,0
0,EAG,ENSEMBLE À GAUCHE,57,6146,10027,101,ECUYER Sébastien,ECUYER_Sebastien.jpg,0
0,EAG,ENSEMBLE À GAUCHE,58,6131,10047,101,SALM DARBOE Karijn,SALM_DARBOE_Karijn.jpg,1
0,UDC,UDC,15,6130,10388,106,THOMAS Sébastien,THOMAS_Sebastien.jpg,0
0,EAG,ENSEMBLE À GAUCHE,59,6126,10069,101,BOUZID Mohamed,BOUZID_Mohamed.jpg,0
0,EAG,ENSEMBLE À GAUCHE,60,6119,10037,101,MISSOH DZIKUNOO Massan,MISSOH_DZIKUNOO_Massan.jpg,1
0,UDC,UDC,16,6112,10372,106,PERRENOUD Philippe,PERRENOUD_Philippe.jpg,0
0,UDC,UDC,17,6102,10381,106,BERTINAT Marie-Agnès,BERTINAT_Marie-Agnes.jpg,1
0,UDC,UDC,18,6100,10363,106,SCHERB Peter (Pierre),SCHERB_Peter.jpg,0
0,EAG,ENSEMBLE À GAUCHE,61,6098,10615,101,GERARDO FÉLIZ GRUBI Ynes,GERARDO_FELIZ_GRUBI_Ynes.jpg,1
0,UDC,UDC,19,6078,10367,106,MASÉ Zora,MASE_Zora.jpg,1
0,UDC,UDC,20,6070,10366,106,BISOL Walter,BISOL_Walter.jpg,0
0,UDC,UDC,21,6064,10368,106,VELEN François,VELEN_Francois.jpg,0
0,UDC,UDC,22,6052,10365,106,GUINCHARD Damien,GUINCHARD_Damien.jpg,0
0,UDC,UDC,22,6052,10376,106,LAPORTE Claude,LAPORTE_Claude.jpg,0
0,UDC,UDC,24,6050,10369,106,KNÖRR Stephen,KNORR_Stephen.jpg,0
0,EAG,ENSEMBLE À GAUCHE,62,6042,10050,101,GUEVARA Francisco,GUEVARA_Francisco.jpg,0
0,UDC,UDC,25,6038,10370,106,RUBELI Pascal,RUBELI_Pascal.jpg,0
0,EAG,ENSEMBLE À GAUCHE,63,6038,10033,101,ZEHFUS Yves,ZEHFUS_Yves.jpg,0
0,EAG,ENSEMBLE À GAUCHE,64,6035,10063,101,MARTI Werner,MARTI_Werner.jpg,0
0,UDC,UDC,26,6012,10378,106,PAREL Loïc,PAREL_Loic.jpg,0
0,UDC,UDC,27,6007,10375,106,QUEFFÉLEC Philippe,QUEFFELEC_Philippe.jpg,0
0,UDC,UDC,28,6005,10385,106,KNOLL Tatiana,KNOLL_Tatiana.jpg,1
0,UDC,UDC,29,6003,10389,106,ROMANENS Mathieu,ROMANENS_Mathieu.jpg,0
0,UDC,UDC,30,5982,10386,106,RIME Alexandre,RIME_Alexandre.jpg,0
0,UDC,UDC,31,5981,10371,106,LYON Didier,LYON_Didier.jpg,0
0,UDC,UDC,32,5980,10364,106,STARK Riccardo (Richard),STARK_Riccardo.jpg,0
0,UDC,UDC,33,5977,10395,106,LÉGUILLON Angèle,LEGUILLON_Angele.jpg,1
0,UDC,UDC,34,5967,10390,106,SCHWEIZER Adriana,SCHWEIZER_Adriana.jpg,1
0,EAG,ENSEMBLE À GAUCHE,65,5964,10057,101,ROSSEL Pascal,ROSSEL_Pascal.jpg,0
0,UDC,UDC,35,5956,10383,106,DOURNOW David,DOURNOW_David.jpg,0
0,UDC,UDC,36,5946,10373,106,DUTRUIT André,DUTRUIT_Andre.jpg,0
0,UDC,UDC,37,5941,10374,106,ALTENBACH Pascal,ALTENBACH_Pascal.jpg,0
0,UDC,UDC,38,5940,10396,106,BONTOUX Caroline,BONTOUX_Caroline.jpg,1
0,EAG,ENSEMBLE À GAUCHE,66,5911,10075,101,NOETZLIN Simon,NOETZLIN_Simon.jpg,0
0,UDC,UDC,39,5868,10384,106,CHAUSSIVERT Patrice,CHAUSSIVERT_Patrice.jpg,0
0,EAG,ENSEMBLE À GAUCHE,67,5864,10071,101,GALLAND Eduardo,GALLAND_Eduardo.jpg,0
0,EAG,ENSEMBLE À GAUCHE,68,5860,10067,101,MAMIN François,MAMIN_Francois.jpg,0
0,UDC,UDC,40,5853,10392,106,PRANDO Stéphane,PRANDO_Stephane.jpg,0
0,UDC,UDC,41,5845,10382,106,MOUNLA Alexandre,MOUNLA_Alexandre.jpg,0
